,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
HC02197,Sulfoglycolithocholate(2-),C26H41NO7S,511.67199999999997,132924;60007;9347,HMDB62801,C11301,LMST05030004;LMST05030015,cpd08159,GLYCOLITHOCHOLATE-3-SULFATES,,,MNXM4834,HC02197_c;HC02197;M_HC02197
HC02198,"2-[(4R)-4-[(1S,2S,5R,7R,10R,11S,14R,15R)-2,15-dimethyl-5-(sulfonatooxy)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanamido]ethane-1-sulfonate",C26H43NO8S2,,,,,,,,,,MNXM162796,HC02198_c;HC02198;M_HC02198
HC02199,Glutathionyl-leuc4,X,,,,,,,,,,MNXM162246,HC02199_c;HC02199;M_HC02199
HC02200,S-glutathionyl-2-4-dinitrobenzene,X,,,,,,,,,,MNXM162247,HC02200_c;HC02200;M_HC02200
HC02201,S-glutathionyl-ethacrynic-acid,X,,,,,,,,,,MNXM162248,HC02201_c;HC02201;M_HC02201
HC02202,Prostaglandin A1(1-),C20H31O4,335.4583,10821;143;15545;26314;57398,HMDB02656,C04685,LMFA03010005,cpd02853,CPD-1911,,,MNXM4788,HC02202_c;HC02202;M_HC02202
HC02203,Prostaglandin A2,C20H29O4,333.4424,133370;26315;27820;8505,HMDB02752;HMDB62524,C05953,LMFA03010035,cpd03542,,8295,2142755;2299726,MNXM7702,HC02203_c;HC02203;M_HC02203
HC02204,Prostaglandin-b1,C20H31O4,335.4583,133393;26316;27624;8506,HMDB02982,C00959,LMFA03010131,cpd00707,,5337,,MNXM78287,HC02204_c;HC02204;M_HC02204
HC02205,Prostaglandin-b2,C20H29O4,333.4424,133391;26317;28099;42246;8507,HMDB04236,C05954,LMFA03010018,cpd03543,,,2299721,MNXM12766,HC02205_c;HC02205;M_HC02205
HC02206,Prostaglandin C1(1-),C20H31O4,335.4583,10822;144;15546;26318;57399,HMDB60104;HMDB62756,C04686,LMFA03010160,cpd02854,CPD-1912,,,MNXM4789,HC02206_c;HC02206;M_HC02206
HC02207,Prostaglandin-c2,C20H29O4,333.4424,133392;26319;27555;8508,HMDB60095,C05955,LMFA03010133,cpd03544,,,2299724,MNXM7703,HC02207_c;HC02207;M_HC02207
HC02208,Prostaglandin-d1,C20H33O5,353.4736,26320;27696;79010;8510,HMDB05102,C06438,LMFA03010049,cpd03858,,8631,,MNXM78290,HC02208_c;HC02208;M_HC02208
HC02210,Prostaglandin-d3,C20H29O5,349.4418,132149;34939,HMDB03034,C13802,LMFA03010142,cpd09623,,20438,,MNXM78292,HC02210_c;HC02210;M_HC02210
HC02213,Prostaglandin E3,C20H29O5,349.4418,133132;26324;28031;8513,HMDB02664,C06439,LMFA03010135,cpd03859,,,,MNXM78294,HC02213_c;HC02213;M_HC02213
HC02214,Prostaglandin-f1alpha,C20H35O5,355.4894,133421;26325;28852;8515,HMDB02685,C06475,LMFA03010137,cpd03891,,8654,,MNXM78295,HC02214_c;HC02214;M_HC02214
HC02216,Prostaglandin-f2beta,C20H33O5,353.4736,26326;28922;8517;90827,HMDB01483,C02314,LMFA03010025,cpd01552,,,,MNXM78297,HC02216_c;HC02216;M_HC02216
HC02217,Prostaglandin-g2,C20H31O6,367.4571,26329;27647;44869;82629;8519,HMDB03235;HMDB05100,C05956,LMFA03010009,cpd03545,CPD-17980,8298,140357,MNXM1337,HC02217_c;HC02217;M_HC02217
HC02220,Sulfochenodeoxycholate,X,,,,,,,,,,MNXM163000,HC02220_c;HC02220;M_HC02220
HC02228,Hexadecenal,,,24547;5698,HMDB60482,C06123,,cpd03650,,,,MNXM56351,HC02228_c;HC02228;M_HC02228;M_hxdceal;hxdceal
HC10859,Malonyl-Carnitin,X,,,HMDB62496,,,,,,,MNXM162761,HC10859_c;HC10859;M_HC10859
L2aadp,L 2 Aminoadipate C6H10NO4,C6H10NO4,160.1484,13051;13053;17082;21200;21201;37023;46332;58672;6161,,C00956,,cpd00705,CPD-468,5335,35181;508531,MNXM268,L2aadp_c;L2aadp;M_L2aadp
L2aadp6sa,L 2 Aminoadipate 6 semialdehyde C6H11NO3,C6H11NO3,145.1564,13052;17917;21222;42174;58321;6162,HMDB59595,C04076,,cpd02522,ALLYSINE,27931;7060,113556,MNXM89905,L2aadp6sa_c;L2aadp6sa;M_L2aadp6sa
L_dpchrm,L-Dopachrome,C9H6NO4,192.1488,13099;15772;21281;57509;6212,HMDB01430;HMDB62804,C01693,,cpd01169,L-DOPACHROME,5735,,MNXM1564,L_dpchrm_c
Lcyst,L-Cysteate,C3H6NO5S,168.149,13094;17285;44466;44513;44590;44708;58090;6206,,C00506,,cpd00395,L-CYSTEATE,2064,379444;5673778,MNXM713,Lcyst_c;Lcyst;M_Lcyst
Lfmkynr,L Formylkynurenine C11H12N2O4,C11H12N2O4,236.22400000000002,12505;13100;17949;21712;30249;58629;6215,HMDB60485,C02700,,cpd27595,,6188;6316,,MNXM1288,Lfmkynr_c;Lfmkynr;M_Lfmkynr
Lkynr,L Kynurenine C10H12N2O3,C10H12N2O3,208.2139,13129;16946;21346;43628;57959;6258;67010,HMDB00183;HMDB00684,C00328,,cpd00275;cpd30794,CPD-14736,5046,29970;893607,MNXM260,Lkynr_c;Lkynr;M_Lkynr
Lpipecol,L-pipecolic acid; piperidine-2-carboxylic acid,C6H11NO2,129.157,13153;18796;18797;30633;30913;61185;6284,HMDB00716,C00408,,cpd00323,L-PIPECOLATE,5075,5693325,MNXM684,Lpipecol_x;Lpipecol;M_Lpipecol
N1aspmd,N1-Acetylspermidine,C9H23N3O,189.2973,12625;17927;21798;58324;7356,HMDB01276,C00612,,cpd00470,CPD-568,5158,141349;353555,MNXM501,N1aspmd_c;M_N1aspmd;N1aspmd
N1sprm,N1 Acetylspermine C12H31N4O,C12H31N4O,247.3991,12626;17312;21799;58101;7357,HMDB01186;HMDB62644,C02567,,cpd01680,N1-ACETYLSPERMINE,6265,141323;353575,MNXM600,N1sprm_c;M_N1sprm;N1sprm
Nacasp,N-Acetyl-L-aspartate,C6H7NO5,173.1246,12574;16953;21546;21547;7149;87271,HMDB00812,C01042,,cpd00767,CPD-420,2224,5691492,MNXM2139,Nacasp_c;M_Nacasp;Nacasp
Nacsertn,N-Acetylserotonin,C12H14N2O2,218.2518,125590;12582;17697;21630;40804;7223,HMDB01238;HMDB61066,C00978,,cpd00721,N-ACETYL-SEROTONIN,,209793,MNXM780,Nacsertn_c
Ndmelys,"Protein N6,N6-dimethyl-L-lysine",C2H7X,,,,,,,,,,MNXM92618,Ndmelys_n;M_Ndmelys;Ndmelys
Nmelys,Histone N6-methyl-L-lysine,CXH4,,,,,,,,,,MNXM92378,Nmelys_n;M_Nmelys;Nmelys
Ntmelys,"Protein N6,N6,N6-trimethyl-L-lysine",C3H10X,,,,,,,,,,MNXM91712,Ntmelys_n;M_Ntmelys;Ntmelys
R1coa_cho,R group 1 Coenzyme A,XCO2C21H31N7O15P3S,,,,,,,,,,MNXM162774,R1coa_cho_c;M_R1coa_cho;R1coa_cho
R2coa_cho,R group 2 Coenzyme A,XCO2C21H31N7O15P3S,,,,,,,,,,MNXM162348,R2coa_cho_c;M_R2coa_cho;R2coa_cho
R3coa_cho,R group 3 Coenzyme A,XCO2C21H31N7O15P3S,,,,,,,,,,MNXM162992,R3coa_cho_c;M_R3coa_cho;R3coa_cho
R4coa_cho,R group 4 Coenzyme A,XCO2C21H31N7O15P3S,,,,,,,,,,MNXM162708,R4coa_cho_c;M_R4coa_cho;R4coa_cho
R5coa_cho,R group 5 Coenzyme A,XCO2C21H31N7O15P3S,,,,,,,,,,MNXM162709,R5coa_cho_c;M_R5coa_cho;R5coa_cho
R6coa_cho,R group 6 Coenzyme A,C22H31N7O17P3SX,,,,,,,,,,MNXM165102,R6coa_cho_c;M_R6coa_cho;R6coa_cho
Rtotal2,R total 2 position,CO2R,,13428;13626;13627;13633;13634;13657;13945;23026;23027;24022;24024;25382;25384;28868;29067;33575;3407;35366;35757;4984;4985;58657,,C00060;C00162;C02403,LMFA01010000,cpd00049;cpd12094;cpd19000,Carboxylates;Fatty-Acids;Monocarboxylates,1927;3036,1500593;166213;166216;1861754;1861779;426026;6789319;6814303,MNXM72,Rtotal2_c;M_Rtotal;M_Rtotal2;M_Rtotal3;Rtotal;Rtotal2;Rtotal3
Rtotal2coa,Rtotal2coa c,CO2R2C21H31N7O15P3S,,,,,,,,,,MNXM4801,Rtotal2coa_c;M_Rtotal2coa;M_Rtotal3coa;M_Rtotalcoa;Rtotal2coa;Rtotal3coa;Rtotalcoa
Rtotal2crn,Rtotal2crn c,C8H14NO4R,,21940;75659,,,,cpd27690,O-Acyl-L-Carnitines,,,MNXM12496,Rtotal2crn_c;M_Rtotal2crn;M_Rtotal3crn;M_Rtotalcrn;Rtotal2crn;Rtotal3crn;Rtotalcrn
Ser_Gly_Ala_X_Gly,Protein-linked serine residue (glycosaminoglycan attachment site),XH,,,,,,,,,,MNXM146222,Ser_Gly_Ala_X_Gly_l;M_Ser_Gly_Ala_X_Gly;Ser_Gly_Ala_X_Gly
Ser_Thr,Ser FSLASH Thr g,XH,,,,,,,,,,MNXM147296,Ser_Thr_g;M_Ser_Thr;Ser_Thr
Sfglutth,S-Formylglutathione,C11H16N3O7S,334.32599999999996,12746;12764;16225;22044;57688;8956,HMDB01550;HMDB62625,C01031,,cpd00759,CPD-548,2220,5692249;5693723,MNXM952,Sfglutth_c;M_Sfglutth;Sfglutth
Ssq23epx, S  Squalene 2 3 epoxide C30H50O,C30H50O,426.7174,11026;11072;15441;18728;372,HMDB01188;HMDB59621,C01054,LMPR0106010010,cpd00776,EPOXYSQUALENE,5375,191309,MNXM130,Ssq23epx_c;M_Ssq23epx;Ssq23epx
T4hcinnm,Trans 4 Hydroxycinnamate C9H7O3,C9H7O3,163.1506,11978;12007;12876;15796;1812;20347;20348;20405;27061;32373;32374;36090;43108,HMDB02035,C00811,,cpd00604,COUMARATE,5246,,MNXM505,T4hcinnm_m;M_T4hcinnm;T4hcinnm
T_antigen,T antigen (core 1),C14H24NO10R,,10387;12361;12362;16117;22783;22785,,C04750;C04776;G00024,,cpd12605,Core1,,,MNXM3928,T_antigen_g;M_T_antigen;T_antigen
Tn_antigen,Tn antigen g,,,,,C04387;G00023,,cpd12535;cpd21520;cpd27560,,7276,,MNXM7559,Tn_antigen_g;M_Tn_antigen;Tn_antigen
Tyr_ggn,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis),XOH,,,,,,,,,,MNXM146651,Tyr_ggn_c;M_Tyr_ggn;Tyr_ggn
aacoa,Acetoacetyl-CoA,C25H36N7O18P3S,847.578,11756;13706;15345;22173;2392;41333;57286,HMDB01484;HMDB11665,C00332,LMFA07050030,cpd00279,ACETOACETYL-COA,2019,191293;73871,MNXM133,aacoa_c;M_aacoa;aacoa
aact,Aminoacetone,C3H8NO,74.1012,13767;17906;19025;2648;42749;42849;58320,HMDB02134;HMDB60177,C01888,,cpd01298,AMINO-ACETONE,,,MNXM1106,aact_c;M_aact;aact
abt,L Arabinitol C5H12O5,C5H12O5,152.1458,13073;18403;21234;6184,HMDB00199;HMDB01851,C00532,,cpd00417,L-ARABITOL,2078,,MNXM801,abt_c;M_abt;M_abt__L;abt;abt__L
ac,Acetate,C2H3O2,59.0446,13704;15366;22165;22169;2387;30089;40480;40486,HMDB00042,C00033;D00010,LMFA01010002,cpd00029,ACET,1278,113539;1524044;2022890;29416;390305,MNXM26,ac_c;M_ac;ac
acACP,Acetyl-ACP,C2H3OSR,,13713;17093;2409,,C03939,,cpd11494,ACETYL-ACP,2326;6963,,MNXM1269,acACP_c;M_acACP;acACP
acac,Acetoacetate,C4H5O3,101.0812,131367;13705;15344;22172;2391;40507,HMDB00060,C00164,LMFA01060003,cpd00142,3-KETOBUTYRATE,1956,29666;73909,MNXM154,acac_c;M_acac;acac
acald,Acetaldehyde,C2H4O,44.0526,13703;15343;22158;2383;40533,HMDB00990,C00084,,cpd00071,ACETALD,1292,113532;113681;113745;29510,MNXM75,acald_c;M_acald;acald
accoa,Acetyl-CoA,C23H34N7O17P3S,805.541,13712;15351;22192;2408;40470;57288,HMDB01206,C00024,LMFA07050029;LMFA07050281,cpd00022,ACETYL-COA,1276,113559;113560;353123;727753;76183,MNXM21,accoa_c;M_accoa;accoa
acetol,Acetol cytosol,C3H6O2,74.0785,24666;27957;5796,HMDB06961,C05235,,cpd03105,ACETOL,2727,,MNXM1744,acetol_c;M_acetol;acetol
acetone,Acetone,C3H6O,58.0791,13708;15347;22182;2398;40571,HMDB01659,C00207;D02311,LMFA12000057,cpd00178,ACETONE,1974,,MNXM398,acetone_c;M_acetone;acetone
acg5p,N-Acetyl-L-glutamyl 5-phosphate,C7H9NO8P,266.1237,12441;12576;16878;21550;57936;7151,HMDB06456,C04133,,cpd02552;cpd16822,N-ACETYL-GLUTAMYL-P,1790,,MNXM1384,acg5p_m;M_acg5p;acg5p
acg5sa,N-Acetyl-L-glutamate 5-semialdehyde,C7H10NO4,172.1591,11493;12461;12577;16319;21551;29123;7152,HMDB06488,C01250,,cpd00918,CPD-469,2267,,MNXM1062,acg5sa_m;M_acg5sa;acg5sa
acgagbside_cho,Alpha GalNAc globoside,C52H92N3O27RCO,,,,,,,,,,MNXM163272,acgagbside_cho_c;M_acgagbside_cho;acgagbside_cho
acgal,N-Acetyl-D-galactosamine,C8H15NO6,221.2078,21502;28037;546804;7110,,C01132,,cpd00832;cpd27607,N-acetyl-D-galactosamine,,1605658,MNXM395,acgal_c;M_acgal;acgal
acgal1p,N-Acetyl-D-galactosamine 1-phosphate,C8H14NO9P,299.1729,55404,HMDB06480,,,cpd15390,,28728,,MNXM63469,acgal1p_c;M_acgal1p;acgal1p
acgalfuc12gal14acglcgalgluside_cho,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,C58H102N3O31RCO,,,,,,,,,,MNXM163978,acgalfuc12gal14acglcgalgluside_cho_g;M_acgalfuc12gal14acglcgalgluside_cho;acgalfuc12gal14acglcgalgluside_cho
acgalfucgalacgalfuc12gal14acglcgalgluside_cho,Type IIIA glycolipid,C79H135N4O46R,,22089;28574;9796,,G00059,,cpd21547,,,,MNXM41303,acgalfucgalacgalfuc12gal14acglcgalgluside_cho_c;M_acgalfucgalacgalfuc12gal14acglcgalgluside_cho;acgalfucgalacgalfuc12gal14acglcgalgluside_cho
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_cho,Type IIIAb,,,,,G00075,,cpd21561,,,,MNXM13383,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_cho_c;M_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_cho;acgalfucgalacgalfucgalacglcgal14acglcgalgluside_cho
acgalfucgalacglcgal14acglcgalgluside_cho,(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,C73H125N4O42R,,62540,,,,cpd21558,,,,MNXM41056,acgalfucgalacglcgal14acglcgalgluside_cho_g;M_acgalfucgalacglcgal14acglcgalgluside_cho;acgalfucgalacglcgal14acglcgalgluside_cho
acgalfucgalacglcgalgluside_cho,Type IA glycolipid,,,,,G00042,,cpd21533,,,,MNXM41055,acgalfucgalacglcgalgluside_cho_g;M_acgalfucgalacglcgalgluside_cho;M_acgalfucgalacglcgalgluside_hs;acgalfucgalacglcgalgluside_cho;acgalfucgalacglcgalgluside_hs
acgam,N-Acetyl-D-glucosamine,C8H15NO6,221.2078,506227,HMDB00215;HMDB00533;HMDB14288,C00140,,cpd00122;cpd27608,N-acetyl-D-glucosamine,95,,MNXM143,acgam_c;M_acgam;acgam
acgam1p,N-Acetyl-D-glucosamine 1-phosphate,C8H14NO9P,299.1729,12443;12542;16446;21573;28742;42925;57776;7163,,C04501,,cpd19031,N-ACETYL-D-GLUCOSAMINE-1-P,1818,,MNXM340,acgam1p_c
acgam6p,N-Acetyl-D-glucosamine 6-phosphate,C8H14NO9P,299.1729,12456;12564;15784;21521;39577;49353;49359;57513;7127,HMDB01062;HMDB02817,C00357,,cpd00293,CPD-16168;N-ACETYL-D-GLUCOSAMINE-6-P,1676,449703,MNXM63556,acgam6p_c;M_acgam6p;acgam6p
acgbgbside_cho,Beta GalNAc globoside,C52H92N3O27RCO,,,,,,,,,,MNXM163763,acgbgbside_cho_c;M_acgbgbside_cho;acgbgbside_cho
acglc13galacglcgal14acglcgalgluside_cho,NLc7Cer,,,,,G00068,,cpd21555,,,,MNXM9255,acglc13galacglcgal14acglcgalgluside_cho_g;M_acglc13galacglcgal14acglcgalgluside_cho;acglc13galacglcgal14acglcgalgluside_cho
acglcgal14acglcgalgluside_cho,NLc5Cer,,,,HMDB62506,G00051,LMSP0505AK00,cpd21540;cpd21553,,,,MNXM64809,acglcgal14acglcgalgluside_cho_g;M_acglcgal14acglcgalgluside_cho;acglcgal14acglcgalgluside_cho
acglcgalacglcgal14acglcgalgluside_cho,(Gal)3 (Glc)1 (GlcNAc)3 (Cer)1,,,,,,,cpd21563,,,,MNXM163980,acglcgalacglcgal14acglcgalgluside_cho_g;M_acglcgalacglcgal14acglcgalgluside_cho;acglcgalacglcgal14acglcgalgluside_cho
acglcgalgbside_cho,GlcNAc-Gal globoside,C58H102N3O32RCO,,,,,,,,,,MNXM164802,acglcgalgbside_cho_g;M_acglcgalgbside_cho;acglcgalgbside_cho
acglcgalgluside_cho,N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide,C39H69N2O18R,,12457;12565;17103;21525;21527;7130,,C04845;G00036,,cpd02942,CPD-1101,7613,,MNXM1575,acglcgalgluside_cho_g;M_acglcgalgluside_cho;acglcgalgluside_cho
acglu,N-Acetyl-L-glutamate,C7H9NO5,187.1512,12575;17533;21549;21552;44335;44337;64040;7150;87274,,C00624,,cpd00477,ACETYL-GLU,2120,30471,MNXM730,acglu_m;M_acglu;acglu
acgpail_cho,6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-),C19H29NO18PR2,,12194;53052;57265,HMDB11669,,,cpd24489,CPD-452,,,MNXM92477,acgpail_cho_c;M_acgpail_cho;acgpail_cho
ach,Acetylcholine,C7H16NO2,146.2069,12686;13715;15355;22197;2416;40559,HMDB00895,C01996,,cpd01367,ACETYLCHOLINE,2356,264643;372533,MNXM793,ach_c;M_ach;ach
acmana,N-Acetyl-D-mannosamine,C8H15NO6,221.2078,12459;12573;17122;21538;58019;63153;7141,HMDB62724,C00645,,cpd00492,N-acetyl-D-mannosamine,1583,4085214,MNXM2403,acmana_c;M_acmana;acmana
acmanap,N-Acetyl-D-mannosamine 6-phosphate,C8H14NO9P,299.1729,21539;28273;58557;62165;62168;7142,HMDB01121,C04257,,cpd02612,N-ACETYL-D-MANNOSAMINE-6P,1802,4085225,MNXM4708,acmanap_c;M_acmanap;acmanap
acn13acngalgbside_cho,"Sialyl (1,3) sialyl (2,6) galactosylgloboside",C72H121N4O43RCO,,,,,,,,,,MNXM163578,acn13acngalgbside_cho_c;M_acn13acngalgbside_cho;acn13acngalgbside_cho
acn23acngalgbside_cho,"Sialyl (2,3) sialyl (2,6) galactosylgloboside",C72H121N4O43RCO,,,,,,,,,,MNXM163579,acn23acngalgbside_cho_c;M_acn23acngalgbside_cho;acn23acngalgbside_cho
acnacngal14acglcgalgluside_cho,"3',8'-LD1",,,,,G00064,,cpd21552,,,,MNXM13366,acnacngal14acglcgalgluside_cho_c;M_acnacngal14acglcgalgluside_cho;acnacngal14acglcgalgluside_cho
acnacngalgbside_cho,Disialyl galactosylgloboside,C72H121N4O43RCO,,,,,,,,,,MNXM163357,acnacngalgbside_cho_c;M_acnacngalgbside_cho;acnacngalgbside_cho
acnam,N-Acetylneuraminate,C11H18NO9,308.2625,12471;12579;17012;21617;21620;29087;33987;35418;7214,HMDB00230;HMDB00800,C00270,,cpd00232;cpd27569,N-ACETYLNEURAMINATE,2006,,MNXM227,acnam_c;M_acnam;acnam
acnamp,N-Acetylneuraminate 9-phosphate,C11H17NO12P,386.2276,21618;27438;7215,HMDB04381;HMDB06268,C06241,,cpd03733,,1862,4085390,MNXM3315,acnamp_c
acngal14acglcgalgluside_cho,Alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide(1-),C56H95N3O31R,,10309;12289;17674;22432;22433;36528;58665;62569,,C04936;G00062,,cpd03004,,7689,1606588;1606609;428193;428248;428662;428682,MNXM3537,acngal14acglcgalgluside_cho_g;M_acngal14acglcgalgluside_cho;acngal14acglcgalgluside_cho
acngalacglcgal14acglcgalgluside_cho,VI3NeuAc-nLc6Cer,C70H118N4O41R,,61850,HMDB62450,G00088,,cpd21573,,,,MNXM41533,acngalacglcgal14acglcgalgluside_cho_c;M_acngalacglcgal14acglcgalgluside_cho;acngalacglcgal14acglcgalgluside_cho
acngalacglcgalgluside_cho,(Gal)3 (Glc)1 (GlcNAc)1 (Cer)1,C51H89N2O28R,,61235,,,,cpd21530,,,,MNXM41010,acngalacglcgalgluside_cho_g;M_acngalacglcgalgluside_cho;M_acngalacglcgalgluside_hs;acngalacglcgalgluside_cho;acngalacglcgalgluside_hs
acngalgbside_cho,Sialyl galactosylgloboside,C61H105N3O35RCO,,,,,,,,,,MNXM163580,acngalgbside_cho_g;M_acngalgbside_cho;acngalgbside_cho
acorn,N2-Acetyl-L-ornithine,C7H14N2O3,174.1977,12634;16543;21814;40771;57805;7368,HMDB03357;HMDB06489,C00437,,cpd00342,N-ALPHA-ACETYLORNITHINE,2048,,MNXM817,acorn_m;M_acorn;acorn
acrn,O Acetylcarnitine C9H17NO4,C9H17NO4,203.2356,12711;15960;21936;57589;73024;7669,,C02571,LMFA07070050,cpd01682,O-ACETYLCARNITINE,2450,390287,MNXM1028,acrn_c;M_acrn;acrn
acryl,Acrylic acid,C3H3O2,71.0553,13721;18308;19766;19768;35853;35937;35938;37080;40714;8487,HMDB31647,C00511,LMFA01030193,cpd00400,ACRYLATE,2066,,MNXM1368,acryl_c;M_acryl;acryl
ade,Adenine,C5H5N5,135.1267,13733;16708;22236;2470;40579,HMDB00034,C00147;D00034,,cpd00128;cpd22238,ADENINE;ADENINE-RING,57,83951,MNXM168,ade_c;M_ade;ade
adhap_cho,Acyl-dihydroxyacetone phosphate,C3H4O6PRCO,,,,,,,,,,MNXM163268,adhap_cho_c;M_adhap_cho;adhap_cho
adn,Adenosine,C10H13N5O4,267.2413,13734;16335;22237;2472;40558;40825;40906;40911,HMDB00050;HMDB04401;HMDB04402;HMDB04421,C00212;D00045,,cpd00182,ADENOSINE,1402,83908;83909;8857850,MNXM212,adn_c;M_adn;adn
adocbl,Adenosylcobalamin,C72H100CoN18O17P,1579.5818,13739;18408;23340;3797,HMDB02086,C00194;D00042,,cpd00166,ADENOSYLCOBALAMIN,1969,3159297,MNXM489,adocbl_m;M_adocbl;adocbl
adp,ADP C10H12N5O10P2,C10H12N5O10P2,424.1789,13222;16761;22244;2342;40553;456216;87518,HMDB01341,C00008;G11113,,cpd00008,ADP,35,113581;113582;114564;114565;211606;29370;5632457;5696026;6798177;8869360,MNXM7,adp_c;M_adp;adp
adpac,"Adipic acid; hexane-1,6-dioic acid",C6H8O4,,,,,,,,,,MNXM163728,adpac_c;M_adpac;adpac
adpcoa,Adipoyl-CoA; 5-Carboxypentanoyl-CoA,C27H39N7O19P3S,,,,,,,,,,MNXM163269,adpcoa_c;M_adpcoa;adpcoa
adpglc,ADPglucose C16H23N5O15P2,C16H23N5O15P2,587.3269,13230;15751;20846;2349;40615;57498,HMDB06557;HMDB12186;HMDB62621,C00498;G11109,,cpd00387,ADP-D-GLUCOSE,3922,,MNXM561,adpglc_c;M_adpglc;adpglc
adpman,Adenosine-5'-Diphosphate-D-Mannose,C16H23N5O15P2,587.3269,20848;2350;28845,HMDB06369,C06192,,cpd03700,ADP-MANNOSE,3930,,MNXM8254,adpman_c
adprbp,ADPribose 2'-phosphate,C15H20N5O17P3,635.2661,20849;2352;37463;58673,HMDB06336,C03246,,cpd02079,CPD-861,1578,,MNXM3210,adprbp_c
adprib,ADPribose C15H21N5O14P2,C15H21N5O14P2,557.3009999999999,13231;16960;20850;2351;32889;40752;57967,,C00301;C01882,,cpd00251;cpd01296,ADENOSINE_DIPHOSPHATE_RIBOSE,3120,1131972;2393945;8870342,MNXM48596,adprib_c;M_adprib;adprib
adrn,Adrenic acid,C22H35O2,,,,,,,,,,MNXM40344,adrn_c;M_adrn;adrn
adrncoa,Adrenyl coenzyme A,C43H66N7O17P3S,,,,,,,,,,MNXM90397,adrncoa_c;M_adrncoa;adrncoa
adrncrn,Adrenyl carnitine,C29H49NO4,,,,,,,,,,MNXM8255,adrncrn_c;M_adrncrn;adrncrn
adrnl,Adrenaline,C9H14NO3,184.2118,1942;23928;28918;71406,HMDB00068;HMDB00615,C00788;D00095,,cpd00583,L-EPINEPHRINE,2152,209794,MNXM31772,adrnl_c
adsel,Adenylylselenate,C10H12N5O10PSe,472.16,2485,HMDB04112;HMDB11109,C05686,,cpd03388,CPD-13713,2830,5357645,MNXM3209,adsel_c
aflatoxin,Aflatoxin c,,,22271,,,,,,,,MNXM40393,aflatoxin_c;M_aflatoxin;aflatoxin
agm,Agmatine,C5H16N4,132.2062,13747;17431;18576;2514;40556;58145,HMDB01432;HMDB60259,C00179,,cpd00152,AGMATHINE,4059,351164,MNXM328,agm_m;M_agm;agm
ahandrostan,3alpha-Hydroxy-5beta-androstan-17-one,C19H30O2,290.4403,11904;1710;20236;28195;40622,HMDB00490,C04373,LMST02020059,cpd02677;cpd21995,3-ALPHA-HYDROXY-5-BETA-ANDROSTAN-17-ONE,7267,,MNXM2192,ahandrostan_r;M_ahandrostan;ahandrostan
ahandrostanglc,Etiocholan-3alpha-ol-17-one 3-glucuronide,C25H38O8,,,,,,,,,,MNXM6098,ahandrostanglc_c;M_ahandrostanglc;ahandrostanglc
ahcys,S-Adenosyl-L-homocysteine,C14H20N6O5S,384.411,12741;12759;12761;16680;22034;45495;57856;67009;8945,HMDB00939,C00021,,cpd00019,ADENOSYL-HOMO-CYS,1274,2162252;5278409;71285;77502,MNXM19,ahcys_c;M_ahcys;ahcys
ahdt,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",C9H12N5O13P3,491.1408,1002;11509;12201;18372;19455;20684;28069;58462,HMDB00980;HMDB01144;HMDB12181,C04895,,cpd02978,DIHYDRONEOPTERIN-P3,25345,1474124,MNXM397,ahdt_c
aicar,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,C9H13N4O8P,336.1964,12102;18406;18966;40739;573;58475,HMDB01517,C04677,,cpd02851,AICAR,1891,111409,MNXM365,aicar_c;M_aicar;aicar
air,5-amino-1-(5-phospho-D-ribosyl)imidazole,C8H13N3O7P,294.17900000000003,12101;18969;2655;28843;58592,HMDB62575,,,,,,,MNXM162266,air_c;M_air;air
ak2g_cho,1-alkyl 2-acylglycerol,C4H6O4R2,,19009;52595;598,,C03201,,cpd12273,1-Alkyl-2-acyl-glycerol,,,MNXM90768,ak2g_cho_c;M_ak2g_cho;M_ak2g_hs;ak2g_cho;ak2g_hs
ak2gchol_cho,1-alkyl 2-acylglycerol 3-phosphocholine,C10H20O5NPRR2CO,,,,,,,,,,MNXM164030,ak2gchol_cho_c;M_ak2gchol_cho;ak2gchol_cho
